date,open_512890,high_512890,low_512890,close_512890,volume_512890,amount_512890,open_588000,high_588000,low_588000,close_588000,volume_588000,amount_588000,advancers,decliners
2024-03-22,1.004,1.006,0.993,1.001,1356711,135586183.0,0.842,0.848,0.831,0.832,27853091,2331984133.0,,
2024-03-25,1.0,1.014,0.997,1.003,1452677,146454873.0,0.831,0.836,0.819,0.82,23429868,1939588853.0,,
2024-03-26,1.003,1.005,0.993,1.004,1358722,135782315.0,0.819,0.825,0.806,0.81,26417575,2148557061.0,,
2024-03-27,1.003,1.01,0.995,0.998,2162568,217488745.0,0.809,0.81,0.788,0.789,27212638,2174532825.0,,
2024-03-28,0.998,1.005,0.994,1.0,1146622,114564426.0,0.788,0.809,0.788,0.799,26283234,2101571427.0,,
2024-03-29,0.998,1.016,0.997,1.015,2350912,237165805.0,0.798,0.801,0.788,0.8,21835076,1735248818.0,,
2024-04-01,1.014,1.024,1.011,1.015,1390671,140996886.0,0.803,0.815,0.802,0.813,22443669,1817665588.0,,
2024-04-02,1.016,1.026,1.015,1.023,935867,95569925.0,0.813,0.813,0.801,0.806,19246878,1552538833.0,,
2024-04-03,1.025,1.033,1.018,1.033,4966159,511524207.0,0.806,0.807,0.792,0.794,20761995,1655420211.0,,
2024-04-08,1.029,1.043,1.024,1.036,6237070,648350320.0,0.792,0.793,0.776,0.778,21433420,1679254962.0,,
2024-04-09,1.033,1.042,1.025,1.029,1193677,123100147.0,0.776,0.786,0.772,0.785,21014082,1639520584.0,,
2024-04-10,1.029,1.037,1.025,1.03,1693053,174815644.0,0.786,0.787,0.768,0.773,22818032,1768324894.0,,
2024-04-11,1.029,1.047,1.025,1.043,2300679,239162681.0,0.771,0.783,0.77,0.774,22606563,1757055895.0,,
2024-04-12,1.041,1.046,1.036,1.04,1703722,177393292.0,0.776,0.783,0.772,0.773,19894512,1547540775.0,,
2024-04-15,1.041,1.065,1.037,1.063,3268639,345099426.0,0.773,0.79,0.771,0.785,25997672,2035684316.0,,
2024-04-16,1.064,1.073,1.052,1.061,2742182,291494903.0,0.78,0.784,0.766,0.768,22433674,1736592935.0,,
2024-04-17,1.061,1.083,1.053,1.082,3737670,398985930.0,0.772,0.786,0.77,0.785,24046639,1874104214.0,,
2024-04-18,1.078,1.094,1.075,1.082,4505033,488259335.0,0.782,0.793,0.775,0.781,28700522,2252767679.0,,
2024-04-19,1.074,1.091,1.074,1.084,2772687,300714397.0,0.776,0.777,0.764,0.765,23963940,1842782119.0,,
2024-04-22,1.084,1.09,1.06,1.062,3500655,374306115.0,0.759,0.77,0.753,0.766,19792119,1512928087.0,,
2024-04-23,1.056,1.058,1.042,1.046,3619366,379426908.0,0.768,0.77,0.759,0.763,17067349,1302199505.0,,
2024-04-24,1.042,1.047,1.034,1.043,2128627,221337094.0,0.765,0.774,0.762,0.773,18129667,1393704142.0,,
2024-04-25,1.043,1.053,1.039,1.052,1877485,196208643.0,0.77,0.775,0.765,0.768,17763173,1366614561.0,,
2024-04-26,1.047,1.053,1.033,1.039,5013460,521061078.0,0.768,0.789,0.768,0.787,31216515,2440934376.0,,
2024-04-29,1.035,1.038,1.028,1.036,12983285,1341459682.0,0.79,0.816,0.788,0.812,34436069,2776624150.0,,
2024-04-30,1.03,1.046,1.03,1.04,2877419,299249831.0,0.81,0.812,0.801,0.804,25096675,2021054936.0,,
2024-05-06,1.042,1.048,1.036,1.047,2236476,233401708.0,0.817,0.821,0.81,0.813,27010452,2204112993.0,,
2024-05-07,1.048,1.049,1.04,1.048,1704702,178177052.0,0.812,0.816,0.804,0.806,21584353,1744758629.0,,
2024-05-08,1.044,1.059,1.044,1.053,2637057,278001163.0,0.804,0.805,0.796,0.797,19566259,1564421369.0,,
2024-05-09,1.051,1.062,1.05,1.061,1675034,177121834.0,0.797,0.816,0.797,0.815,31138581,2521904728.0,,
2024-05-10,1.06,1.068,1.057,1.066,2123880,225697861.0,0.815,0.816,0.801,0.804,25031714,2013916012.0,,
2024-05-13,1.062,1.074,1.056,1.072,2951282,314964323.0,0.798,0.805,0.793,0.798,18181349,1453160624.0,,
2024-05-14,1.068,1.071,1.061,1.068,1950948,208062307.0,0.801,0.805,0.795,0.796,17250331,1376956026.0,,
2024-05-15,1.066,1.074,1.062,1.066,3559273,380773509.0,0.795,0.796,0.784,0.784,21238277,1677041066.0,,
2024-05-16,1.068,1.073,1.065,1.068,1761702,188369649.0,0.786,0.79,0.779,0.781,23618335,1853363229.0,,
2024-05-17,1.068,1.076,1.064,1.075,1605503,171623757.0,0.779,0.79,0.776,0.79,22460197,1761170495.0,,
2024-05-20,1.076,1.09,1.075,1.087,2443983,264787735.0,0.789,0.796,0.785,0.789,25397612,2007192198.0,,
2024-05-21,1.085,1.092,1.083,1.089,2371600,258122884.0,0.787,0.791,0.782,0.783,15926935,1250864320.0,,
2024-05-22,1.089,1.098,1.086,1.088,1989113,217345031.0,0.784,0.792,0.778,0.789,23833692,1869892809.0,,
2024-05-23,1.085,1.086,1.073,1.076,2449222,264150412.0,0.787,0.789,0.775,0.777,22804342,1778667482.0,,
2024-05-24,1.074,1.088,1.073,1.076,2484445,268743346.0,0.776,0.781,0.76,0.761,24963144,1919586736.0,,
2024-05-27,1.077,1.095,1.076,1.095,2066873,224944553.0,0.76,0.773,0.753,0.772,26966411,2055803517.0,,
2024-05-28,1.095,1.097,1.086,1.09,2528860,276114733.0,0.77,0.78,0.768,0.769,22875813,1769358556.0,,
2024-05-29,1.089,1.1,1.085,1.092,2145286,234452322.0,0.768,0.775,0.765,0.769,17505365,1349056515.0,,
2024-05-30,1.087,1.098,1.08,1.083,2031720,221070445.0,0.768,0.781,0.764,0.777,25230327,1955880238.0,,
